"Id","Code","Name"
"19594551-0c00-7e9b-5d9b-3a20038dac25","6280000001","Panadol Extra 500mg/65mg"
"435fa249-6f25-921b-164d-3a20038dac34","6280000002","Jusprin 81mg"
"44211acc-ee9f-8995-49b2-3a20038dac34","6280000003","Warfarin 5mg"
"2a7d5685-dcdc-16ca-05bd-3a20038dac35","6280000006","Lipitor 20mg"
"2e637b56-34c4-c1eb-56ce-3a20038dac35","6280000010","Crestor 10mg"
"1dc5584b-5546-504a-7406-3a20038dac35","6280000004","Amoxil 500mg"
"fcbc2894-0013-6844-a103-3a20038dac35","6280000009","Pantoloc 40mg"
"7f1d6e3b-c69e-6338-a9c6-3a20038dac35","6280000007","Glucophage 500mg"
"e9c485e0-6feb-0661-bda3-3a20038dac35","6280000005","Augmentin 1g"
"c59137fd-43d3-9e9f-d266-3a20038dac35","6280000008","Brufen 400mg"
